name,city,state,type,rank,fees,rating,reviews,about,courses,placements,facilities,imageUrl,acceptanceRate,worldRank,countryRank,stateRank,naac_grade
College 1,Ahmedabad,Rajasthan,State University,16,202436,4.9,553,College 1 is a prestigious institution located in Ahmedabad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,BDS|MBA Operations|B.Tech ECE|B.Arch|MBA IT|B.Tech AI,Average package: ₹13 LPA; Highest package: ₹28 LPA,Hostel|Transport|ATM,https://example.com/college1.jpg,0.3051915398292665,3590,16,1,A+
College 2,Patna,Tamil Nadu,Government,106,235707,4.4,1668,College 2 is a prestigious institution located in Patna; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,MBA Marketing|B.Tech CE|B.Arch,Average package: ₹17 LPA; Highest package: ₹41 LPA,WiFi|Library|Medical Center,https://example.com/college2.jpg,0.3538899298838948,1899,106,15,A+
College 3,Pune,Tamil Nadu,Institute of National Importance,198,158257,3.6,1619,College 3 is a prestigious institution located in Pune; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,BBA,Average package: ₹10 LPA; Highest package: ₹34 LPA,Research Labs|WiFi|ATM,https://example.com/college3.jpg,0.4519659994788947,4996,198,15,A+
College 4,Srinagar,Madhya Pradesh,Autonomous,154,348541,4.3,536,College 4 is a prestigious institution located in Srinagar; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech IT|MBA Finance|BA,Average package: ₹15 LPA; Highest package: ₹20 LPA,Auditorium|WiFi|Computer Center|Parking|Library|Innovation Center,https://example.com/college4.jpg,0.11600284946975999,4719,154,16,B+
College 5,Kolkata,Rajasthan,Autonomous,37,428777,4.1,476,College 5 is a prestigious institution located in Kolkata; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,MBA HR|BCA|B.Pharma|B.Des|B.Tech ECE|MBA Marketing|B.Tech AI|BA,Average package: ₹8 LPA; Highest package: ₹21 LPA,Parking|Library|Research Labs,https://example.com/college5.jpg,0.3022506283398597,4015,37,11,A
College 6,Mumbai,Assam,Institute of National Importance,10,309925,4.9,506,College 6 is a prestigious institution located in Mumbai; Assam. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech ME|B.Tech CE|B.Tech IT|B.Arch|B.Des|BBA,Average package: ₹6 LPA; Highest package: ₹11 LPA,WiFi|Auditorium|Labs|Innovation Center|Research Labs|Computer Center|Library|Hostel,https://example.com/college6.jpg,0.182404730128241,5753,10,12,B+
College 7,Faridabad,Rajasthan,Private,16,328608,4.5,1303,College 7 is a prestigious institution located in Faridabad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech IT|MBA Finance|BA,Average package: ₹14 LPA; Highest package: ₹35 LPA,Cafeteria|Innovation Center|WiFi|Library|Bank|Transport|Canteen,https://example.com/college7.jpg,0.1898397685919862,2658,16,5,A+
College 8,Ludhiana,Madhya Pradesh,Institute of National Importance,48,161093,3.9,1556,College 8 is a prestigious institution located in Ludhiana; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,B.Des|B.Tech ECE|BCA|BDS|B.Tech IT|B.Tech CSE,Average package: ₹8 LPA; Highest package: ₹13 LPA,Labs|Conference Hall|Computer Center|WiFi|Medical Center|Transport|Bank,https://example.com/college8.jpg,0.3136300647487148,4057,48,8,A++
College 9,Varanasi,Kerala,Autonomous,156,485029,4.0,1278,College 9 is a prestigious institution located in Varanasi; Kerala. Known for its excellent academic programs and state-of-the-art facilities.,MBA IT|MBA Finance|BDS|B.Tech AI|B.Arch|BA|B.Tech ME|MBA Operations,Average package: ₹14 LPA; Highest package: ₹35 LPA,Labs|Sports Complex|Cafeteria|Conference Hall|Canteen|Research Labs,https://example.com/college9.jpg,0.2894767279598445,3950,156,12,A+
College 10,Faridabad,Rajasthan,Deemed University,174,262269,3.6,409,College 10 is a prestigious institution located in Faridabad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,B.Com|B.Tech AI,Average package: ₹8 LPA; Highest package: ₹20 LPA,Innovation Center|Canteen|Library|ATM|Gym,https://example.com/college10.jpg,0.3007032756575404,5270,174,7,A+
College 11,Indore,Tamil Nadu,Private University,106,518021,3.1,1500,College 11 is a prestigious institution located in Indore; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,BA|MBA Marketing|BDS|BBA|MBA IT|B.Tech ECE|B.Tech ME|MBA Operations,Average package: ₹8 LPA; Highest package: ₹28 LPA,Research Labs|Medical Center|Innovation Center|Hostel|Sports Complex,https://example.com/college11.jpg,0.2897563767969066,2336,106,12,B+
College 12,Pimpri-Chinchwad,Rajasthan,Institute of National Importance,200,243364,4.7,945,College 12 is a prestigious institution located in Pimpri-Chinchwad; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,B.Arch|B.Des,Average package: ₹11 LPA; Highest package: ₹30 LPA,Conference Hall|Library|Research Labs|Computer Center,https://example.com/college12.jpg,0.30670863097854706,2286,200,17,A++
College 13,Ahmedabad,West Bengal,Central University,117,189597,3.4,371,College 13 is a prestigious institution located in Ahmedabad; West Bengal. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech CE|B.Tech IT|B.Tech ECE|B.Tech AI,Average package: ₹6 LPA; Highest package: ₹23 LPA,Library|Research Labs|Conference Hall,https://example.com/college13.jpg,0.17723415716270696,1941,117,9,A
College 14,Kanpur,Gujarat,Central University,121,352170,5.0,1684,College 14 is a prestigious institution located in Kanpur; Gujarat. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech ME|B.Com|B.Tech AI|MBA Finance,Average package: ₹13 LPA; Highest package: ₹24 LPA,Bank|Auditorium|Labs,https://example.com/college14.jpg,0.3741638407548785,3187,121,3,A++
College 15,Vadodara,Assam,Autonomous,157,162107,3.7,1669,College 15 is a prestigious institution located in Vadodara; Assam. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech AI,Average package: ₹11 LPA; Highest package: ₹19 LPA,Parking|Innovation Center|Gym|Bank|Hostel|Medical Center|Labs|Conference Hall,https://example.com/college15.jpg,0.28912745147121466,4202,157,10,A
College 16,Meerut,Karnataka,Government,157,381843,4.3,1423,College 16 is a prestigious institution located in Meerut; Karnataka. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech IT|B.Arch|B.Des|B.Tech AI|MBA Marketing|BDS,Average package: ₹7 LPA; Highest package: ₹25 LPA,Bank|Conference Hall|Sports Complex|Auditorium,https://example.com/college16.jpg,0.4321626711583636,5990,157,8,B++
College 17,Agra,Kerala,Private,167,94974,3.1,1790,College 17 is a prestigious institution located in Agra; Kerala. Known for its excellent academic programs and state-of-the-art facilities.,MBA Finance|MBA HR,Average package: ₹4 LPA; Highest package: ₹17 LPA,Library|Canteen|Cafeteria|Transport,https://example.com/college17.jpg,0.21184392631961457,4675,167,15,A++
College 18,Bangalore,Uttar Pradesh,State University,154,94149,5.0,593,College 18 is a prestigious institution located in Bangalore; Uttar Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,B.Arch|B.Tech IT|BCA|B.Com|BBA|B.Tech ME|MBA Finance,Average package: ₹10 LPA; Highest package: ₹29 LPA,Transport|Canteen|Computer Center|Sports Complex|Library|Cafeteria|Innovation Center,https://example.com/college18.jpg,0.3319895765702481,1815,154,5,A++
College 19,Lucknow,Assam,Institute of National Importance,179,209529,4.3,1297,College 19 is a prestigious institution located in Lucknow; Assam. Known for its excellent academic programs and state-of-the-art facilities.,MBA IT|B.Tech CSE|BA|B.Com|BBA|B.Sc,Average package: ₹3 LPA; Highest package: ₹10 LPA,Gym|Canteen|Hostel|ATM|Labs,https://example.com/college19.jpg,0.362840371520352,1482,179,8,B+
College 20,Nagpur,Odisha,Private,23,162830,3.7,1190,College 20 is a prestigious institution located in Nagpur; Odisha. Known for its excellent academic programs and state-of-the-art facilities.,BCA|MBA Operations|BBA|B.Tech IT,Average package: ₹5 LPA; Highest package: ₹15 LPA,Gym|Medical Center|Conference Hall|Transport|Bank,https://example.com/college20.jpg,0.4658916471765493,4345,23,3,A
College 21,Hyderabad,Karnataka,Government,178,283978,3.3,1037,College 21 is a prestigious institution located in Hyderabad; Karnataka. Known for its excellent academic programs and state-of-the-art facilities.,B.Sc|B.Arch|B.Tech IT|MBA Marketing,Average package: ₹5 LPA; Highest package: ₹10 LPA,Conference Hall|Medical Center|ATM|Computer Center|Sports Complex|Parking,https://example.com/college21.jpg,0.16905336454929812,5647,178,16,B++
College 22,Mumbai,Bihar,State University,170,547064,3.2,59,College 22 is a prestigious institution located in Mumbai; Bihar. Known for its excellent academic programs and state-of-the-art facilities.,BA|B.Pharma|MBA HR|BCA|B.Tech ECE|B.Tech ME,Average package: ₹6 LPA; Highest package: ₹28 LPA,Sports Complex|Hostel|Computer Center|Transport|Gym|Bank|Canteen,https://example.com/college22.jpg,0.3819766459169259,2661,170,10,B+
College 23,Ludhiana,Tamil Nadu,Autonomous,12,108829,3.9,1342,College 23 is a prestigious institution located in Ludhiana; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech AI|B.Tech CSE,Average package: ₹5 LPA; Highest package: ₹20 LPA,Medical Center|Transport|Auditorium|Gym|Library,https://example.com/college23.jpg,0.37619329234302923,1490,12,16,B++
College 24,Delhi,Maharashtra,Deemed University,189,442018,4.9,1206,College 24 is a prestigious institution located in Delhi; Maharashtra. Known for its excellent academic programs and state-of-the-art facilities.,B.Sc|B.Tech CE|B.Tech CSE|MBA Finance|MBA HR|MBA Operations|B.Com|B.Tech AI,Average package: ₹17 LPA; Highest package: ₹40 LPA,Cafeteria|Medical Center|WiFi|ATM|Labs,https://example.com/college24.jpg,0.4994595120372253,3279,189,10,A
College 25,Lucknow,Gujarat,Private,90,532766,4.8,1160,College 25 is a prestigious institution located in Lucknow; Gujarat. Known for its excellent academic programs and state-of-the-art facilities.,BDS|MBA HR|B.Tech IT|MBA IT|BA,Average package: ₹13 LPA; Highest package: ₹18 LPA,WiFi|ATM|Computer Center|Sports Complex|Library|Parking|Labs|Conference Hall,https://example.com/college25.jpg,0.418318974900194,5419,90,1,B+
College 26,Varanasi,Andhra Pradesh,Private,123,389440,3.3,1801,College 26 is a prestigious institution located in Varanasi; Andhra Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,BCA|MBA IT,Average package: ₹8 LPA; Highest package: ₹18 LPA,Auditorium|Conference Hall|Cafeteria|Medical Center|Transport|Innovation Center,https://example.com/college26.jpg,0.12150972991012027,5572,123,18,B+
College 27,Thane,Haryana,Deemed University,93,405653,4.3,893,College 27 is a prestigious institution located in Thane; Haryana. Known for its excellent academic programs and state-of-the-art facilities.,B.Des|BA|MBA HR|B.Tech AI,Average package: ₹15 LPA; Highest package: ₹26 LPA,Bank|Conference Hall|Hostel|Medical Center|Parking|Research Labs|Canteen,https://example.com/college27.jpg,0.4087583621858477,2471,93,12,A+
College 28,Meerut,Chhattisgarh,Deemed University,128,247846,3.6,1527,College 28 is a prestigious institution located in Meerut; Chhattisgarh. Known for its excellent academic programs and state-of-the-art facilities.,BDS,Average package: ₹5 LPA; Highest package: ₹26 LPA,Auditorium|Innovation Center|Transport|Computer Center|Sports Complex|Gym|Canteen,https://example.com/college28.jpg,0.30978055870247856,2244,128,8,A+
College 29,Indore,Uttarakhand,Private,89,536349,3.6,1592,College 29 is a prestigious institution located in Indore; Uttarakhand. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech ME|B.Des|B.Tech CE|B.Sc|B.Tech CSE,Average package: ₹15 LPA; Highest package: ₹27 LPA,Parking|Computer Center|Canteen|Labs|Medical Center,https://example.com/college29.jpg,0.17095911027543492,3220,89,19,A+
College 30,Varanasi,Odisha,Private University,94,538209,4.0,1537,College 30 is a prestigious institution located in Varanasi; Odisha. Known for its excellent academic programs and state-of-the-art facilities.,B.Des|BCA|BA|MBA Finance|BDS,Average package: ₹6 LPA; Highest package: ₹19 LPA,WiFi|Research Labs|Gym|Library,https://example.com/college30.jpg,0.11186632629012278,3723,94,20,A++
College 31,Faridabad,Madhya Pradesh,Institute of National Importance,9,124138,4.3,1665,College 31 is a prestigious institution located in Faridabad; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,MBA Finance|B.Pharma|BDS,Average package: ₹17 LPA; Highest package: ₹38 LPA,Gym|Conference Hall|Cafeteria|Sports Complex|Library|Computer Center,https://example.com/college31.jpg,0.13689924387673746,1073,9,17,A++
College 32,Kalyan-Dombivali,West Bengal,Institute of National Importance,35,445974,4.7,1635,College 32 is a prestigious institution located in Kalyan-Dombivali; West Bengal. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech AI,Average package: ₹4 LPA; Highest package: ₹19 LPA,WiFi|Labs,https://example.com/college32.jpg,0.419166822470627,2602,35,20,A+
College 33,Kolkata,Madhya Pradesh,Institute of National Importance,194,270760,4.0,324,College 33 is a prestigious institution located in Kolkata; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech ECE|MBA Marketing|BBA|MBA Operations|MBA IT,Average package: ₹17 LPA; Highest package: ₹23 LPA,Library|Cafeteria|Computer Center|Bank,https://example.com/college33.jpg,0.13173339865199163,3191,194,14,A++
College 34,Mumbai,Maharashtra,State University,83,117287,4.6,703,College 34 is a prestigious institution located in Mumbai; Maharashtra. Known for its excellent academic programs and state-of-the-art facilities.,BCA|B.Sc,Average package: ₹12 LPA; Highest package: ₹22 LPA,Gym|WiFi|Research Labs|Medical Center,https://example.com/college34.jpg,0.33336097527297764,3754,83,14,A++
College 35,Indore,Karnataka,Central University,23,388496,3.7,1612,College 35 is a prestigious institution located in Indore; Karnataka. Known for its excellent academic programs and state-of-the-art facilities.,BA|B.Des|B.Com,Average package: ₹9 LPA; Highest package: ₹26 LPA,Parking|Cafeteria|Bank|Auditorium|Library|Sports Complex,https://example.com/college35.jpg,0.3924233197446231,5513,23,10,B++
College 36,Srinagar,Rajasthan,Government,47,547868,3.5,1402,College 36 is a prestigious institution located in Srinagar; Rajasthan. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech CSE,Average package: ₹8 LPA; Highest package: ₹24 LPA,Medical Center|Conference Hall,https://example.com/college36.jpg,0.12377822410460437,3225,47,15,B++
College 37,Varanasi,Maharashtra,Autonomous,34,523569,3.8,554,College 37 is a prestigious institution located in Varanasi; Maharashtra. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech AI|B.Tech CSE|B.Tech ME|BA|BBA,Average package: ₹16 LPA; Highest package: ₹26 LPA,Labs|Research Labs|Computer Center,https://example.com/college37.jpg,0.40198328823002083,1698,34,7,B++
College 38,Jaipur,Tamil Nadu,Deemed University,138,164613,4.0,1772,College 38 is a prestigious institution located in Jaipur; Tamil Nadu. Known for its excellent academic programs and state-of-the-art facilities.,BBA|B.Tech CSE|B.Com,Average package: ₹9 LPA; Highest package: ₹21 LPA,Hostel|Bank|Library|Conference Hall|Parking|Transport|Computer Center|ATM|Innovation Center,https://example.com/college38.jpg,0.22656580159692605,2842,138,12,B++
College 39,Agra,Andhra Pradesh,Deemed University,115,355183,3.5,409,College 39 is a prestigious institution located in Agra; Andhra Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,MBA IT|B.Tech CE|MBA HR|B.Tech ECE|B.Tech IT,Average package: ₹4 LPA; Highest package: ₹18 LPA,Hostel|Cafeteria|Medical Center|Bank|Canteen,https://example.com/college39.jpg,0.4744916102262625,1071,115,18,A+
College 40,Hyderabad,Maharashtra,Deemed University,14,332268,4.5,549,College 40 is a prestigious institution located in Hyderabad; Maharashtra. Known for its excellent academic programs and state-of-the-art facilities.,BA|B.Tech ECE|B.Tech ME|MBA Finance|B.Tech CE|B.Des,Average package: ₹8 LPA; Highest package: ₹16 LPA,Transport|Innovation Center|Hostel|WiFi|Computer Center|ATM|Sports Complex,https://example.com/college40.jpg,0.21389792475563296,3552,14,6,A++
College 41,Mumbai,Telangana,Government,136,110087,3.5,1505,College 41 is a prestigious institution located in Mumbai; Telangana. Known for its excellent academic programs and state-of-the-art facilities.,MBA HR|B.Tech ME|B.Pharma,Average package: ₹15 LPA; Highest package: ₹39 LPA,Gym|Sports Complex|Library|ATM|Bank|Computer Center|WiFi|Parking|Medical Center,https://example.com/college41.jpg,0.259340443503493,1717,136,4,A+
College 42,Visakhapatnam,Madhya Pradesh,Autonomous,93,145524,3.1,955,College 42 is a prestigious institution located in Visakhapatnam; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,BBA|B.Com|B.Tech ME|B.Pharma|BCA|MBA HR|MBA Finance,Average package: ₹5 LPA; Highest package: ₹28 LPA,WiFi|Hostel|Conference Hall|Canteen|Library,https://example.com/college42.jpg,0.22774324207026087,4335,93,6,A++
College 43,Rajkot,Maharashtra,Central University,164,460653,3.1,1195,College 43 is a prestigious institution located in Rajkot; Maharashtra. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech CE|MBA Marketing|B.Tech ECE,Average package: ₹11 LPA; Highest package: ₹29 LPA,Canteen|Conference Hall|Gym|Labs,https://example.com/college43.jpg,0.36159976144156125,1034,164,14,A+
College 44,Ghaziabad,Telangana,Central University,160,151370,4.3,791,College 44 is a prestigious institution located in Ghaziabad; Telangana. Known for its excellent academic programs and state-of-the-art facilities.,B.Pharma|B.Arch,Average package: ₹8 LPA; Highest package: ₹22 LPA,Gym|Research Labs|ATM|Canteen|Hostel,https://example.com/college44.jpg,0.2573995325498256,2522,160,9,B++
College 45,Varanasi,Jharkhand,State University,199,175937,4.8,251,College 45 is a prestigious institution located in Varanasi; Jharkhand. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech CE|BA,Average package: ₹7 LPA; Highest package: ₹13 LPA,Computer Center|Gym|Labs|Cafeteria|Bank|Conference Hall,https://example.com/college45.jpg,0.22357146666400385,2097,199,19,A
College 46,Chennai,West Bengal,State University,139,436026,3.8,1054,College 46 is a prestigious institution located in Chennai; West Bengal. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech AI|B.Pharma|B.Tech CE|B.Des|BCA|BDS,Average package: ₹17 LPA; Highest package: ₹24 LPA,Medical Center|Library|Canteen|Conference Hall|Labs|Computer Center,https://example.com/college46.jpg,0.33645754910805303,4476,139,8,A++
College 47,Mumbai,Madhya Pradesh,Central University,76,274280,4.5,733,College 47 is a prestigious institution located in Mumbai; Madhya Pradesh. Known for its excellent academic programs and state-of-the-art facilities.,MBA HR|B.Tech IT|B.Com|B.Pharma|BBA,Average package: ₹9 LPA; Highest package: ₹22 LPA,WiFi|Library|Gym,https://example.com/college47.jpg,0.1242006474223135,3926,76,18,B+
College 48,Pune,Punjab,State University,21,510948,4.0,364,College 48 is a prestigious institution located in Pune; Punjab. Known for its excellent academic programs and state-of-the-art facilities.,B.Tech CSE|B.Com|B.Des|B.Tech AI|BA|BCA,Average package: ₹3 LPA; Highest package: ₹10 LPA,ATM|Library|Sports Complex,https://example.com/college48.jpg,0.10843684635484614,5306,21,4,A
College 49,Vasai-Virar,Delhi,Central University,31,97060,3.8,678,College 49 is a prestigious institution located in Vasai-Virar; Delhi. Known for its excellent academic programs and state-of-the-art facilities.,B.Pharma|B.Tech AI|BDS|B.Tech ECE|MBA HR|B.Com|MBA Finance|B.Tech ME,Average package: ₹8 LPA; Highest package: ₹25 LPA,Medical Center|Cafeteria|Hostel,https://example.com/college49.jpg,0.43353985230631387,3429,31,12,B+
